1	Álex Abrines\abrinal01	25	OKC	31	2	19.0	0.487	0.6	5.3	6.3	0.507	12.2	-3.7	0.4
2	Quincy Acy\acyqu01	28	PHO	10	0	12.3	0.278	0.8	1.7	2.9	0.379	9.2	-7.6	-0.5
3	Jaylen Adams\adamsja01	22	ATL	34	1	12.6	0.459	1.9	3.2	7.6	0.474	13.5	-3.8	-0.5
4	Steven Adams\adamsst01	25	OKC	80	80	33.4	0.595	1.6	13.9	18.5	0.591	16.4	0.7	0.4
5	Bam Adebayo\adebaba01	21	MIA	82	28	23.3	0.579	2.2	8.9	17.9	0.623	15.8	-0.4	2.2
6	Deng Adel\adelde01	21	CLE	19	3	10.2	0.389	0.3	1.7	2.7	0.424	9.9	-6.0	-1.6
7	DeVaughn Akoon-Purcell\akoonde01	25	DEN	7	0	3.1	0.300	0.9	1.0	8.2	0.322	25.0	-7.9	2.1
8	LaMarcus Aldridge\aldrila01	33	SAS	81	81	33.2	0.522	2.4	21.3	22.9	0.576	26.9	2.4	-0.6
9	Rawle Alkins\alkinra01	21	CHI	10	1	12.0	0.372	1.3	3.7	8.1	0.418	19.0	-3.8	-3.5
10	Grayson Allen\allengr01	23	UTA	38	2	10.9	0.466	0.7	5.6	7.5	0.516	24.4	-4.2	-2.1
11	Jarrett Allen\allenja01	20	BRK	80	80	26.2	0.595	1.4	10.9	18.5	0.632	15.9	0.2	1.4
12	Kadeem Allen\allenka01	26	NYK	19	1	21.9	0.521	4.0	9.9	16.2	0.574	19.6	0.3	0.3
13	Al-Farouq Aminu\aminual01	28	POR	81	81	28.3	0.514	1.3	9.4	13.2	0.568	13.7	0.1	0.6
14	Justin Anderson\anderju01	25	ATL	48	4	9.6	0.484	0.5	3.7	11.2	0.516	17.2	-2.4	-0.3
15	Kyle Anderson\anderky01	25	MEM	43	40	29.8	0.560	3.0	8.0	12.8	0.569	12.6	-1.6	2.4
16	Ryan Anderson\anderry01	30	TOT	25	8	12.9	0.370	0.8	2.5	4.6	0.414	12.0	-4.5	-1.9
16	Ryan Anderson\anderry01	30	PHO	15	8	18.5	0.375	1.1	3.7	4.6	0.423	12.1	-4.5	-1.9
16	Ryan Anderson\anderry01	30	MIA	10	0	4.4	0.333	0.2	0.7	4.5	0.354	11.6	-4.6	-1.9
17	Ike Anigbogu\anigbik01	20	IND	3	0	2.0	0.000	0.3	0.0	-6.0	0.000	29.1	-14.0	-2.3
18	Giannis Antetokounmpo\antetgi01	24	MIL	72	72	32.8	0.599	5.9	27.7	30.9	0.644	32.3	6.3	4.1
19	Kostas Antetokounmpo\antetko01	21	DAL	2	0	5.5	0.000	0.0	1.0	-0.9	0.210	22.5	-12.6	-0.1
20	Carmelo Anthony\anthoca01	34	HOU	10	2	29.4	0.492	0.5	13.4	10.9	0.513	20.5	-1.3	-1.4
21	OG Anunoby\anunoog01	21	TOR	67	6	20.2	0.536	0.7	7.0	9.8	0.544	15.5	-2.4	0.1
22	Ryan Arcidiacono\arcidry01	24	CHI	81	32	24.2	0.544	3.3	6.7	11.6	0.588	11.7	-2.0	0.1
23	Trevor Ariza\arizatr01	33	TOT	69	69	34.0	0.498	3.7	12.5	12.0	0.534	16.6	-0.7	-0.6
23	Trevor Ariza\arizatr01	33	PHO	26	26	34.0	0.489	3.3	9.9	10.5	0.525	13.8	-1.1	0.0
23	Trevor Ariza\arizatr01	33	WAS	43	43	34.1	0.502	3.8	14.1	13.0	0.538	18.2	-0.5	-0.9
24	D.J. Augustin\augusdj01	31	ORL	81	81	28.0	0.566	5.3	11.7	15.7	0.616	17.2	1.1	-0.7
25	Deandre Ayton\aytonde01	20	PHO	71	70	30.7	0.585	1.8	16.3	20.5	0.608	21.2	1.3	-1.1
26	Dwayne Bacon\bacondw01	23	CHO	43	13	17.7	0.549	1.1	7.3	11.7	0.570	16.8	-2.1	-1.6
27	Marvin Bagley III\baglema01	19	SAC	62	4	25.3	0.525	1.0	14.9	18.9	0.562	24.2	0.5	-1.5
28	Ron Baker\bakerro01	25	TOT	15	0	10.1	0.225	1.0	0.9	2.5	0.309	7.8	-7.7	0.7
28	Ron Baker\bakerro01	25	NYK	11	0	9.7	0.281	1.2	1.3	4.4	0.376	8.6	-7.7	1.1
28	Ron Baker\bakerro01	25	WAS	4	0	11.3	0.000	0.5	0.0	-2.0	0.000	5.7	-7.9	0.0
29	Wade Baldwin\baldwwa01	22	POR	16	0	5.9	0.333	0.8	1.9	1.3	0.396	23.3	-8.4	-1.9
30	Lonzo Ball\balllo01	21	LAL	47	45	30.3	0.488	5.4	9.9	11.7	0.487	16.9	-1.6	1.3
31	Mo Bamba\bambamo01	20	ORL	47	1	16.3	0.525	0.8	6.2	14.9	0.539	17.8	-2.8	1.4
32	J.J. Barea\bareajo01	34	DAL	38	0	19.8	0.468	5.6	10.9	16.3	0.495	28.1	1.2	-1.8
33	Harrison Barnes\barneha02	26	TOT	77	77	32.9	0.504	1.5	16.4	12.8	0.550	20.9	-0.2	-1.2
33	Harrison Barnes\barneha02	26	DAL	49	49	32.3	0.489	1.3	17.7	13.1	0.538	23.7	0.0	-1.2
33	Harrison Barnes\barneha02	26	SAC	28	28	33.9	0.540	1.9	14.3	12.3	0.578	16.3	-0.5	-1.2
34	Will Barton\bartowi01	28	DEN	43	38	27.7	0.475	2.9	11.5	11.0	0.501	20.0	-1.1	-0.8
