1	Atlanta Hawks	25.1	29	53	-6.02	-0.04	-6.06	108.1	113.9	-5.8	103.9	0.255	0.403	0.555	0.522	14.3	24.7	0.192	0.541	12.8	76.4	0.237
2	Boston Celtics	25.7	49	33	4.44	-0.54	3.90	112.2	107.8	4.4	99.6	0.215	0.381	0.567	0.534	11.5	21.6	0.173	0.514	13.4	77.0	0.198
3	Brooklyn Nets	25.4	42	40	-0.07	-0.33	-0.40	109.6	109.7	-0.1	100.8	0.284	0.403	0.556	0.520	13.0	23.8	0.211	0.512	11.6	76.4	0.190
4	Charlotte Hornets	26.6	39	43	-1.10	-0.22	-1.32	111.4	112.5	-1.1	98.7	0.257	0.378	0.554	0.514	10.9	21.7	0.205	0.538	12.1	77.1	0.179
5	Chicago Bulls	24.0	22	60	-8.41	0.10	-8.32	104.8	113.2	-8.4	99.0	0.235	0.295	0.541	0.505	12.7	19.4	0.184	0.541	11.9	77.3	0.188
6	Cleveland Cavaliers	25.2	19	63	-9.61	0.22	-9.39	107.7	117.6	-9.9	96.6	0.236	0.332	0.540	0.503	12.2	23.7	0.187	0.564	11.5	77.0	0.181
7	Dallas Mavericks	26.9	33	49	-1.28	0.42	-0.87	109.4	110.7	-1.3	99.0	0.291	0.422	0.555	0.519	12.7	22.7	0.216	0.522	11.6	77.5	0.191
8	Denver Nuggets	24.9	54	28	3.95	0.24	4.19	113.0	108.9	4.1	97.7	0.232	0.348	0.558	0.527	11.9	26.6	0.175	0.521	12.3	78.0	0.194
9	Detroit Pistons	26.9	41	41	-0.24	-0.31	-0.56	109.0	109.2	-0.2	97.4	0.262	0.394	0.544	0.509	12.3	24.8	0.195	0.526	12.8	78.7	0.211
10	Golden State Warriors	28.4	57	25	6.46	-0.04	6.42	115.9	109.5	6.4	100.9	0.227	0.384	0.596	0.565	12.6	22.5	0.182	0.508	11.7	77.1	0.205
11	Houston Rockets	29.2	53	29	4.77	0.19	4.96	115.5	110.7	4.8	97.9	0.279	0.519	0.581	0.542	12.0	22.8	0.221	0.525	13.4	74.4	0.210
12	Indiana Pacers	27.0	48	34	3.33	-0.57	2.76	109.9	106.5	3.4	98.1	0.242	0.292	0.561	0.530	12.4	21.9	0.182	0.516	14.1	76.2	0.184
13	LA Clippers	27.2	48	34	0.85	0.23	1.09	112.4	111.5	0.9	101.7	0.326	0.295	0.575	0.529	12.7	22.0	0.258	0.514	11.4	76.0	0.224
14	LA Lakers	26.2	37	45	-1.72	0.39	-1.33	107.8	109.5	-1.7	103.2	0.257	0.342	0.554	0.527	13.4	22.2	0.180	0.516	12.2	76.4	0.192
15	Memphis Grizzlies	27.7	33	49	-2.60	0.51	-2.08	106.1	108.8	-2.7	96.6	0.272	0.342	0.548	0.508	12.9	20.0	0.210	0.521	13.9	77.6	0.232
16	Miami Heat	27.0	39	43	-0.23	-0.22	-0.45	107.3	107.6	-0.3	98.2	0.247	0.368	0.542	0.515	13.1	24.8	0.172	0.510	12.7	77.6	0.201
17	Milwaukee Bucks	26.9	60	22	8.87	-0.82	8.04	113.8	105.2	8.6	103.3	0.255	0.419	0.583	0.550	12.0	20.8	0.197	0.503	11.5	80.3	0.162
18	Minnesota Timberwolves	26.2	36	46	-1.50	0.48	-1.02	111.4	112.9	-1.5	100.2	0.267	0.315	0.552	0.511	11.4	24.6	0.210	0.538	12.9	74.9	0.190
19	New Orleans Pelicans	25.7	33	49	-1.33	0.23	-1.10	111.4	112.6	-1.2	103.3	0.254	0.324	0.563	0.529	12.6	24.1	0.193	0.532	11.6	76.8	0.193
20	New York Knicks	23.4	17	65	-9.21	0.28	-8.93	104.5	113.7	-9.2	99.6	0.270	0.334	0.529	0.490	12.4	22.1	0.205	0.533	11.7	76.1	0.203
21	Oklahoma City Thunder	25.7	49	33	3.40	0.15	3.56	110.3	107.0	3.3	102.8	0.266	0.347	0.545	0.514	11.7	26.0	0.190	0.523	14.4	78.2	0.206
22	Orlando Magic	25.7	42	40	0.71	-0.43	0.28	108.9	108.1	0.8	98.1	0.216	0.360	0.550	0.518	11.9	22.0	0.168	0.515	11.8	79.7	0.186
23	Philadelphia 76ers	26.4	51	31	2.70	-0.44	2.25	112.6	110.0	2.6	101.6	0.312	0.342	0.574	0.532	12.9	24.5	0.241	0.512	11.1	78.6	0.206
24	Phoenix Suns	24.0	19	63	-9.34	0.73	-8.61	105.9	115.1	-9.2	100.5	0.259	0.335	0.552	0.514	13.8	20.5	0.202	0.545	13.5	72.5	0.236
25	Portland Trail Blazers	26.2	53	29	4.20	0.24	4.43	114.7	110.5	4.2	99.1	0.258	0.339	0.568	0.528	12.1	26.6	0.210	0.516	11.0	77.9	0.195
26	Sacramento Kings	24.8	39	43	-1.12	0.31	-0.81	110.4	111.5	-1.1	103.1	0.244	0.321	0.554	0.524	11.5	23.1	0.177	0.533	13.6	75.5	0.207
27	San Antonio Spurs	28.8	48	34	1.68	0.12	1.80	112.9	111.2	1.7	98.3	0.237	0.286	0.572	0.534	11.0	21.0	0.194	0.528	11.0	79.4	0.170
28	Toronto Raptors	27.3	58	24	6.09	-0.60	5.49	113.1	107.1	6.0	100.2	0.247	0.379	0.579	0.543	12.4	21.9	0.198	0.509	13.1	77.1	0.190
29	Utah Jazz	27.3	50	32	5.26	0.03	5.28	110.9	105.7	5.2	100.3	0.295	0.394	0.572	0.538	13.4	22.9	0.217	0.507	12.4	80.3	0.189
30	Washington Wizards	26.5	32	50	-2.90	-0.40	-3.30	111.1	113.9	-2.8	101.4	0.266	0.370	0.567	0.531	12.3	21.3	0.204	0.546	13.5	74.1	0.199
